coach,year,actual_decision,predicted_go_rate,fourth_down_phat_var_sum,fourth_down_plays,fourth_down_aggression,actual_pass,predicted_pass_rate,pass_heavy_phat_var_sum,run_pass_plays,pass_heavy_aggression,actual_beyond,predicted_beyond_rate,deep_pass_phat_var_sum,pass_plays,deep_pass_aggression,actual_two_point,predicted_two_point_rate,two_point_phat_var_sum,conversion_attempts,two_point_aggression,fourth_down_aggression_reliability,pass_heavy_aggression_reliability,deep_pass_aggression_reliability,two_point_aggression_reliability,composite_aggression,fourth_down_aggression_zscore,pass_heavy_aggression_zscore,deep_pass_aggression_zscore,two_point_aggression_zscore,composite_aggression_zscore,total_plays,coach_war,season_number,annual_war,annual_games,cumulative_war,cumulative_games,win_pct,predicted_impact,predicted_replacement,total_seasons,Background,Offensive_Years,Defensive_Years,era
Rod Marinelli,2006,0.1854838709677419,0.2031953672666414,5.053681592860675,124,-0.0177114962988995,0.706,0.6386283880467527,173.20845005553758,1000,0.0673716119532472,0.3885135135135135,0.3752965673977972,116.17496563439268,592,0.0132169461157162,0.032258064516129,0.0538673024389173,0.6794910763945594,31,-0.0216092379227883,0.6155140297929317,0.9200459636877936,0.7546496980764511,0.5755210887246002,0.0169663172055654,-0.6720411294842323,1.4743703672634083,0.3124782027393369,-0.6906137718833943,0.7054552150700092,1747,Rod Marinelli,1,-0.2162895798683166,-3.460633277893065,-0.2162895798683166,-3.460633277893065,0.1875,-0.058143646,0.40378958,3,Defensive,1,32,Early (2006-2011)
Bill Parcells,2006,0.2129629629629629,0.1752301633760272,4.766202499959522,108,0.0377327995869357,0.5743913435527502,0.5907084216561918,196.6970834551421,1109,-0.0163170781034415,0.4071969696969697,0.3734757455698799,101.51752548565004,528,0.0337212241270897,0.0555555555555555,0.0376646922012932,0.3809324506212299,54,0.0178908633542623,0.5628697147052247,0.92571930761742,0.7368406477806942,0.8800738055655982,0.0150462123411432,1.1155043808171028,-0.314433584598863,0.8414060540241909,0.1559149882543073,0.6111246836961686,1799,Bill Parcells,19,0.0380346775054931,0.6085548400878896,1.5895300066947935,25.432480107116696,0.5625,0.022173166,0.5244653,19,Defensive,0,17,Early (2006-2011)
Andy Reid,2006,0.1052631578947368,0.1016939633620488,4.550752885989968,133,0.0035691945326879,0.6204118173679498,0.593284903004959,200.11350331977448,1117,0.0271269143629908,0.4003407155025553,0.3883689523968066,116.292433164467,587,0.0119717631057487,0.0185185185185185,0.0328099034128104,0.7805145376663606,54,-0.0142913848942919,0.6716174972548464,0.925523494669483,0.7513064907833886,0.7817336482606452,0.0080909493399245,0.0140565608975366,0.6141600563816344,0.2803574924391144,-0.5337844764941673,0.2694279009284123,1891,Andy Reid,8,-0.0117786526679992,-0.1884584426879872,0.0842224657535554,1.3475594520568863,0.625,0.0144684315,0.63677865,26,Offensive,16,0,Early (2006-2011)
Tony Dungy,2006,0.0619469026548672,0.0994011360762509,4.554940752566336,113,-0.0374542334213836,0.5715361445783133,0.5705720729332036,246.68931541210847,1328,0.0009640716451096,0.4348441926345609,0.3701151757669887,139.22783577989654,706,0.0647290168675721,0.0508474576271186,0.0638720396443505,1.4377220650497426,59,-0.0130245820172318,0.5959618686736382,0.9344218771836788,0.7849533924134322,0.6988952966922772,0.0067300705566278,-1.3085545983724187,0.0549423602509445,1.6412823129303589,-0.5066355570183684,0.2025709176758875,2206,Tony Dungy,11,0.0472290515899658,0.7556648254394528,-0.0124246180057525,-0.1987938880920404,0.75,0.019391537,0.70277095,13,Defensive,0,16,Early (2006-2011)
Scott Linehan,2006,0.145985401459854,0.1691961316361752,4.049163237078777,137,-0.0232107301763212,0.6175925925925926,0.601334097377818,188.77255645997943,1080,0.0162584952147746,0.4246575342465753,0.379234691058242,111.76536760977908,584,0.0454228431883332,0.0526315789473684,0.0945656467362201,1.1282984092986017,38,-0.0419340677888517,0.709211154290414,0.9248987233654824,0.7567698393151461,0.5509450005440997,0.0033473868817586,-0.8493385533332671,0.3818530252923011,1.143260731530235,-1.126196275985091,0.0363871042641884,1839,Scott Linehan,1,-0.0843936204910278,-1.3502979278564449,-0.0843936204910278,-1.3502979278564449,0.5,-0.034131467,0.5843936,3,Offensive,29,0,Early (2006-2011)
Nick Saban,2006,0.1126760563380281,0.1378546662108003,6.203590337984458,142,-0.0251786098727721,0.627151051625239,0.6287974946781366,178.9065740191889,1046,-0.0016464430528976,0.3613013698630137,0.3704430355245527,111.3771592821462,584,-0.009141665661539,0.1538461538461538,0.1046241813413731,0.3702488425407824,26,0.0492219725047806,0.6310281730426027,0.924180401888077,0.7574097301697975,0.6364064912887615,0.0023706730823524,-0.9127837546835952,-0.0008560876041587,-0.2642839967634237,0.827373645965062,-0.0115966977693916,1798,Nick Saban,2,-0.0153025984764099,-0.2448415756225584,-0.0129836201667786,-0.2077379226684576,0.375,-0.018294454,0.3903026,2,Defensive,0,19,Early (2006-2011)
Jim Mora,2006,0.145985401459854,0.1420560371014714,3.372766595955905,137,0.0039293643583825,0.5199222546161322,0.6199835759684429,177.77643929340098,1029,-0.1000613213523107,0.4892086330935252,0.3858954863229756,78.7762733641273,417,0.1033131467705495,0.03125,0.0075791906006656,0.2309382256344765,32,0.0236708093993343,0.7454200228943659,0.9223071880098554,0.6923675805211882,0.8095524584587938,0.0004212413080133,0.0256685751648304,-2.104424958198093,2.63659757894252,0.2797853177220531,-0.1073679957634743,1615,Jim Mora Jr,3,-0.160218060016632,-2.563488960266112,-0.2366583347320556,-3.7865333557128897,0.4375,-0.061415672,0.59771806,4,Other,0,0,Early (2006-2011)
Bill Cowher,2006,0.2035398230088495,0.1929640842426993,4.162122733512224,113,0.0105757387661502,0.5777351247600768,0.621095767334075,177.9848186585281,1042,-0.0433606425739981,0.4536679536679536,0.4011565155423249,100.64256040065526,518,0.0525114381256286,0.0,0.0064716615147406,0.2418720005374888,41,-0.0064716615147406,0.6174774007205541,0.9240052234993784,0.7310636969002436,0.8694970045513235,-0.0002460388620972,0.2399502527038535,-0.8924762683187941,1.3261179521908515,-0.3661995710610939,-0.1401500037610932,1714,Bill Cowher,15,-0.0484406948089599,-0.7750511169433584,0.6451701008796693,10.322721614074707,0.5,0.017741084,0.5484407,15,Defensive,0,5,Early (2006-2011)
Bill Belichick,2006,0.1748251748251748,0.1478054723966601,5.71068325768546,143,0.0270197024285146,0.5715408805031447,0.5671612102451951,223.17688582788645,1272,0.0043796702579496,0.3452012383900928,0.3752416268322747,129.21336950631934,646,-0.0300403884421818,0.0535714285714285,0.0547371848868221,0.2482704807994072,56,-0.0011657563153936,0.6532724366736711,0.9352744354061384,0.7670601087663501,0.923717858272341,-0.0007233784994479,0.7701099913493475,0.1279490746885186,-0.8033869356150986,-0.252488436036206,-0.1636006508957459,2117,Bill Belichick,12,0.122245192527771,1.955923080444336,0.6478868126869199,10.36618900299072,0.75,0.04609567,0.6277548,29,Defensive,1,13,Early (2006-2011)
Mike McCarthy,2006,0.1240875912408759,0.1416438310137174,3.684939733966728,137,-0.0175562397728415,0.6177536231884058,0.6128833590575622,188.16350898985297,1104,0.0048702641308435,0.3827751196172249,0.3696080676332854,122.16162594206716,627,0.0131670519839394,0.0,0.0112791290114273,0.3055895457923369,32,-0.0112791290114273,0.728259919744111,0.9281115334932624,0.7664187828030354,0.7626045315218859,-0.0021270193782819,-0.6670355991286601,0.1384352736957881,0.3111911349431521,-0.469228661311476,-0.2325584419059233,1900,Mike McCarthy,1,0.0308475196361541,0.4935603141784656,0.0308475196361541,0.4935603141784656,0.5,-0.028984606,0.46915248,18,Offensive,14,0,Early (2006-2011)
Mike Holmgren,2006,0.1052631578947368,0.1272339070931857,5.025743012540024,152,-0.0219707491984488,0.554726368159204,0.6048417459616583,208.61457225824532,1206,-0.0501153778024543,0.4419410745233968,0.3650791980746758,112.76597845384508,577,0.076861876448721,0.0476190476190476,0.0594368063227323,0.5080037730719938,42,-0.0118177587036847,0.7075039499253978,0.9328676496995568,0.7506385194386063,0.7689929549006382,-0.0043315447079742,-0.8093610877627984,-1.036855360192033,1.954261260281652,-0.4807720627413071,-0.3408619255490156,1977,Mike Holmgren,15,0.1811527013778686,2.898443222045897,0.8437134027481077,13.499414443969725,0.5625,0.039595664,0.3813473,17,Offensive,15,0,Early (2006-2011)
Marty Schottenheimer,2006,0.1065573770491803,0.0933369124973516,3.918903817619372,122,0.0132204645518286,0.5018248175182481,0.5528142755973513,199.04432009514696,1096,-0.0509894580791031,0.4323232323232323,0.38725800915466,100.34601355694416,495,0.0450652231685723,0.0161290322580645,0.0282076819275091,0.791627528801196,62,-0.0120786496694446,0.6664860304210786,0.9232448756049814,0.7134382735352182,0.8231681218501347,-0.0051357239296298,0.3252172333487556,-1.0555383895482715,1.1340355742960375,-0.4863632308303915,-0.3803694830289066,1775,Marty Schottenheimer,20,0.2050420045852661,3.280672073364258,1.2512561110496514,20.020097776794422,0.875,0.04020369,0.669958,20,Defensive,0,11,Early (2006-2011)
Marvin Lewis,2006,0.0991735537190082,0.1236199938813709,4.22717813656619,121,-0.0244464401623626,0.5815109343936382,0.5926431901338668,176.92845403925833,1006,-0.0111322557402285,0.4238921001926782,0.397167521466481,103.73112955040378,519,0.0267245787261972,0.0,0.0200246290325256,0.4923027655733959,43,-0.0200246290325256,0.645690792938444,0.9193602390290274,0.7258476736516212,0.7826351874192884,-0.0072533446531579,-0.8891783204777739,-0.2036105961312844,0.6609207613431508,-0.6566539349257956,-0.484403534397643,1689,Marvin Lewis,4,-0.107503056526184,-1.720048904418944,-0.171535015106201,-2.744560241699216,0.5,-0.060019135,0.60750306,16,Defensive,0,23,Early (2006-2011)
Brian Billick,2006,0.0970149253731343,0.1265026176087127,4.513900671615496,134,-0.0294876922355783,0.5739700374531835,0.5830161360655789,185.7981143492177,1068,-0.0090460986123953,0.3510054844606947,0.3700840429959917,107.21422727745762,547,-0.019078558535297,0.0263157894736842,0.0095968995714141,0.3186292738313863,38,0.01671888990227,0.6766945047637819,0.924448464495305,0.7399520653855721,0.8128942833537917,-0.0091450341535663,-1.051710234100223,-0.1590200294496225,-0.5206158409400012,0.1307983632038858,-0.5773380813977874,1787,Brian Billick,8,0.0991913080215454,1.5870609283447263,-0.015199452638626,-0.243191242218016,0.8125,-0.0011894703,0.7133087,9,Offensive,15,0,Early (2006-2011)
Lovie Smith,2006,0.1180124223602484,0.118709846449467,4.646828132459491,161,-0.0006974240892186,0.5274027005559968,0.5573955568802307,225.39127596642945,1259,-0.0299928563242338,0.3917355371900826,0.385203881216194,121.10581139143906,605,0.0065316559738886,0.0,0.0106296298812529,0.4799015054089617,56,-0.0106296298812529,0.7458743225004681,0.9334084443321332,0.7549969518541053,0.8623451028080087,-0.009934647337208,-0.1235008711142506,-0.6067465137362947,0.1400246226634475,-0.4553092110923322,-0.6161300414479073,2081,Lovie Smith,3,0.1481243968009948,2.3699903488159166,0.140188843011856,2.2430214881896973,0.8125,0.012076497,0.6643756,12,Defensive,0,22,Early (2006-2011)
Tom Coughlin,2006,0.128,0.1007818524086978,4.275303101472146,125,0.0272181475913021,0.5580969807868252,0.6058176026798014,187.13643175620564,1093,-0.0477206218929762,0.3864468864468864,0.3814868356186604,106.62444412400384,546,0.004960050828226,0.0476190476190476,0.0747729337009505,0.9523102910685808,42,-0.0271538860819029,0.657883555489581,0.9271344056814316,0.74030914167985,0.6397390103778664,-0.0135027302650285,0.7765079400312495,-0.9856686486815732,0.0994835349790893,-0.8094414199092507,-0.7914221126278495,1806,Tom Coughlin,11,-0.0080415606498718,-0.1286649703979488,-0.152035892009735,-2.4325742721557604,0.5,0.017934024,0.50804156,20,Offensive,17,0,Early (2006-2011)
Art Shell,2006,0.1732283464566929,0.1651877554443092,3.77142205262098,127,0.0080405910123837,0.6095334685598377,0.6596360535556394,160.56649489313762,986,-0.0501025849958016,0.4021052631578947,0.3655172291444652,92.66059180963671,475,0.0365880340134294,0.0,0.0551309513183468,0.3305164186245828,16,-0.0551309513183468,0.6923281711284931,0.9234774904208918,0.7128644984657485,0.4261208962031844,-0.0138348139204874,0.1582161101235789,-1.0365819203391662,0.9153582113438848,-1.409019385058885,-0.8077366526618012,1604,Art Shell,6,-0.1443811655044555,-2.310098648071288,0.3245854675769805,5.193367481231688,0.125,-0.023794562,0.26938117,6,Offensive,12,0,Early (2006-2011)
John Fox,2006,0.0863309352517985,0.1135985935349296,3.111073858683932,139,-0.027267658283131,0.5944333996023857,0.6070255054958039,173.17978181758767,1006,-0.0125921058934181,0.3580705009276438,0.3730296956998324,105.0350728037881,539,-0.0149591947721886,0.0,0.0028893186276296,0.0802554838346744,28,-0.0028893186276296,0.7656813629180493,0.9209337051087892,0.7382296964067084,0.9035212771782056,-0.0138592674568912,-0.9801354821620794,-0.2348141640373351,-0.414352834621367,-0.2894261911311513,-0.8089380011535842,1712,John Fox,5,0.131296694278717,2.100747108459472,-0.1125587821006774,-1.8009405136108394,0.5,0.0079165995,0.3687033,16,Defensive,0,22,Early (2006-2011)
Mike Shanahan,2006,0.12,0.1096173760869933,3.3197442294430086,125,0.0103826239130066,0.5253549695740365,0.5824477527428487,175.3705096694669,986,-0.0570927831688121,0.4150110375275938,0.3862271673413259,89.45773799914977,453,0.0287838701862678,0.0,0.038003055742967,0.6584931905806015,34,-0.038003055742967,0.7123539235526807,0.9170077509294868,0.7004976443441269,0.6272763907195158,-0.0164462550811974,0.2337241552632799,-1.1859939150508962,0.714042193199481,-1.041950548867867,-0.9360310166341714,1598,Mike Shanahan,14,0.0302813053131103,0.4845008850097648,0.2985927462577816,4.777483940124506,0.5625,0.03588468,0.5322187,20,Offensive,17,0,Early (2006-2011)
Sean Payton,2006,0.1824817518248175,0.1680943472956276,5.653940098899469,137,0.0143874045291898,0.5960591133004927,0.5964485757375574,215.9126922536716,1218,-0.0003894624370647,0.3181818181818182,0.3989653404902886,131.24846018763992,660,-0.0807835223084704,0.037037037037037,0.0521470868015125,1.0410539215211791,54,-0.0151100497644754,0.6359233237160166,0.9319485583218452,0.7718942607011657,0.7286457410345439,-0.0210466801498339,0.3628398288564751,0.0260112452635571,-2.112355568817799,-0.5513293266368023,-1.1620397879835478,2069,Sean Payton,1,0.0618281364440918,0.9892501831054688,0.0618281364440918,0.9892501831054688,0.625,0.039027274,0.56317186,17,Offensive,16,0,Early (2006-2011)
Jeff Fisher,2006,0.1343283582089552,0.1155309293929165,4.137147920434862,134,0.0187974288160386,0.5521155830753354,0.662366085016852,163.5231440691212,969,-0.1102505019415166,0.4399092970521542,0.3817837767414208,86.30494729021957,441,0.0581255203107333,0.0857142857142857,0.1090114466630828,1.1847543705965606,35,-0.0232971609487971,0.6954613165712995,0.9196448678848976,0.6967467231132557,0.4977971670392862,-0.0211474443565999,0.5050207148850113,-2.32221360433252,1.4709386781611529,-0.7267877395497836,-1.1669901119704442,1579,Jeff Fisher,12,0.1194396913051605,1.911035060882568,0.1380220651626588,2.208353042602541,0.5,0.0074754953,0.3805603,21,Defensive,0,9,Early (2006-2011)
Dick Jauron,2006,0.1167883211678832,0.1140595544558898,4.182476114165714,137,0.0027287667119933,0.5497835497835498,0.6004999164941426,162.64945025864384,924,-0.0507163667105927,0.3395348837209302,0.3707247532077227,82.98154310079441,430,-0.0311898694867924,0.0,0.0047250530560907,0.1528677889831571,33,-0.0047250530560907,0.7024856935226825,0.912757910978715,0.6943643228119216,0.8722749678592019,-0.0220478018122268,-0.0130391565899451,-1.0497011979411384,-0.8330389203707351,-0.3287679127831449,-1.2112226946743263,1524,Dick Jauron,6,-0.114457368850708,-1.831317901611328,0.051959067583084,0.8313450813293455,0.4375,-0.04220122,0.55195737,9,Defensive,0,17,Early (2006-2011)
Herm Edwards,2006,0.1515151515151515,0.1294683115564105,3.298692843223981,132,0.0220468399587409,0.5160377358490567,0.6189270326522847,187.43739148160464,1060,-0.102889296803228,0.4046610169491525,0.3945737097632227,93.6446087821482,472,0.0100873071859297,0.0526315789473684,0.0571350560879325,0.681632081275392,38,-0.0045034771405641,0.73539738483924,0.9227677475453162,0.708085085673466,0.6700620062135308,-0.0245708174430865,0.6097829849519066,-2.164871521036437,0.23174611387909,-0.3240193076154895,-1.3351729067348148,1702,Herm Edwards,6,-0.026365041732788,-0.421840667724608,-0.352130442857742,-5.634087085723872,0.5625,-0.028003156,0.58886504,8,Both,3,4,Early (2006-2011)
Jack Del Rio,2006,0.1370967741935483,0.1375271088878845,4.425492498046704,124,-0.0004303346943362,0.5338645418326693,0.6021589094474243,174.39274647073194,1004,-0.068294367614755,0.4004474272930649,0.3958790438786679,89.37264823741448,447,0.0045683834143969,0.0238095238095238,0.0478286546963967,0.6027015324727172,42,-0.0240191308868729,0.6464077021897396,0.9201319813213372,0.6950748675553794,0.7372454154824349,-0.0258933828011539,-0.1148898058812419,-1.4254221879805915,0.0893800920048952,-0.7422603154869768,-1.400147635623218,1617,Jack Del Rio,4,-0.0818524360656738,-1.3096389770507808,-0.0333733856678008,-0.5339741706848128,0.5,-0.020674586,0.58185244,12,Defensive,0,11,Early (2006-2011)
Brad Childress,2006,0.1554054054054054,0.160340702334513,4.536020786174213,148,-0.0049352969291076,0.6020892687559354,0.6340805554385708,177.25426953873296,1053,-0.0319912866826354,0.3003731343283582,0.3941758075948099,105.40108604473228,536,-0.0938026732664517,0.125,0.0880236097260649,0.8274556871679072,32,0.036976390273935,0.7175778919318784,0.9257501553492112,0.7353904352978526,0.5426211873606639,-0.028094923489393,-0.2601315280130246,-0.6494619645362618,-2.4481972667277896,0.5649379253492078,-1.5083044903923049,1769,Brad Childress,1,-0.1949231028556823,-3.1187696456909166,-0.1949231028556823,-3.1187696456909166,0.375,-0.06550628,0.5699231,5,Offensive,30,0,Early (2006-2011)
Jon Gruden,2006,0.1145038167938931,0.1143614372738093,3.772283355262296,131,0.0001423795200838,0.6229838709677419,0.6463870751453684,167.56774375820103,992,-0.0234032041776265,0.287593984962406,0.3742363511630252,102.83209529314364,532,-0.0866423662006192,0.0,0.0063447291854967,0.1420799447998911,23,-0.0063447291854967,0.7053318260474954,0.9212907821211282,0.737272510164328,0.7811501965914479,-0.0287105410886907,-0.0964252784431039,-0.4658959902872568,-2.2634901617631686,-0.3634792775979824,-1.5385484298462648,1678,Jon Gruden,9,-0.0385495722293853,-0.6167931556701648,-0.3798637986183166,-6.077820777893066,0.25,0.0007855594,0.28854957,15,Offensive,10,0,Early (2006-2011)
Joe Gibbs,2006,0.104,0.1267578538228772,3.4444254940205687,125,-0.0227578538228772,0.5287698412698413,0.6411851104496727,173.21276704702086,1008,-0.1124152691798314,0.3952991452991453,0.3898648813561661,95.6817120147994,468,0.0054342639429791,0.0606060606060606,0.0316573484193475,0.1928532293101177,33,0.028948712186713,0.7047404259916054,0.9212086342662524,0.7000550864245447,0.8440753554173279,-0.0288185572276574,-0.834737644810821,-2.36848442286411,0.1117163248241315,0.3928963315746402,-1.543855025321585,1634,Joe Gibbs,15,-0.1573231518268585,-2.517170429229736,0.8056883987903588,12.89101438064574,0.3125,0.020985663,0.46982315,16,Offensive,17,0,Early (2006-2011)
