index_x,coach,year,actual_decision,predicted_go_rate,fourth_down_plays,fourth_down_aggression,index_y,actual_pass,predicted_pass_rate,run_pass_plays,pass_heavy_aggression,index_x.1,actual_beyond,predicted_beyond_rate,pass_plays,deep_pass_aggression,index_y.1,actual_two_point,predicted_two_point_rate,conversion_attempts,two_point_aggression,composite_aggression,fourth_down_aggression_zscore,pass_heavy_aggression_zscore,deep_pass_aggression_zscore,two_point_aggression_zscore,composite_aggression_zscore,total_plays,season_number,annual_war,annual_games,cumulative_war,cumulative_games,win_pct,predicted_impact,predicted_replacement,total_seasons
65,Bill Parcells,2006,0.2129629629629629,0.18530716,108,0.0276558029430883,65,0.5743913435527502,0.56617254,1109,0.0082188033649145,65,0.4071969696969697,0.38008142,528,0.0271155545205781,65,0.0555555555555555,0.04340388,54,0.012151676747534,0.0187854593940287,1.0334166240585263,-0.2808014074382461,0.9328815052926764,0.2566324156308731,0.8621028914903452,1799,19,0.0573938488960266,0.9183015823364256,1.1356789625167845,18.17086340026855,0.5625,0.044555724,0.50510615,19
526,Rod Marinelli,2006,0.1854838709677419,0.19355357,124,-0.0080696959649362,526,0.706,0.616527,1000,0.089472979068756,526,0.3885135135135135,0.37603906,592,0.0124744555434664,526,0.032258064516129,0.065935224,31,-0.0336771597785334,0.0150501447171882,-0.2866627291984063,1.793059139832292,0.530415132387987,-0.8507485415619476,0.6527360997190107,1747,1,-0.2018356919288635,-3.229371070861816,-0.2018356919288635,-3.229371070861816,0.1875,-0.13421708,0.3893357,3
476,Nick Saban,2006,0.1126760563380281,0.13313754,142,-0.0204614826910932,476,0.627151051625239,0.5807887,1046,0.0463623796548715,476,0.3613013698630137,0.38158268,584,-0.0202813075013356,476,0.1538461538461538,0.1271896,26,0.0266565474180074,0.0080690342201125,-0.7445469381573111,0.6927418882056465,-0.3700017806440243,0.6071195495970757,0.2614403631546698,1798,2,-0.0351313054561615,-0.562100887298584,-0.0794529020786285,-1.271246433258056,0.375,-0.030637205,0.4101313,2
6,Andy Reid,2006,0.1052631578947368,0.10564256,133,-0.0003793992494282,6,0.6204118173679498,0.5740582,1117,0.0463536422809747,6,0.4003407155025553,0.390972,587,0.0093687270629954,6,0.0185185185185185,0.04700858,54,-0.0284900629410037,0.0067132267883845,-0.0025014935303573,0.6925188831126228,0.4450423554730823,-0.7254105950546592,0.1854464839774754,1891,8,-0.0245295166969299,-0.3924722671508784,0.3915968537330627,6.265549659729003,0.625,0.009106934,0.6495295,26
57,Bill Cowher,2006,0.2035398230088495,0.20146759,113,0.0020722344649576,57,0.5777351247600768,0.5783922,1042,-0.0006570828624512,57,0.4536679536679536,0.4154104,518,0.0382575542310029,57,0.0,0.015529275,41,-0.0155292749404907,0.0060358577232546,0.0880878935189703,-0.5073417680972196,1.2391618068854766,-0.4122337633928386,0.1474795119066386,1714,15,-0.0431116819381713,-0.6897869110107409,0.7367136859416962,11.78741897506714,0.5,0.021870792,0.5431117,15
38,Bill Belichick,2006,0.1748251748251748,0.1535521,143,0.0212730747628045,38,0.5715408805031447,0.5396536,1272,0.0318872812409071,38,0.3452012383900928,0.38097596,646,-0.0357747232950877,38,0.0535714285714285,0.054958165,56,-0.0013867361204964,0.0039997241470318,0.7975708571474491,0.3232921305957131,-0.7958973277039619,-0.0705018024098499,0.0333529144569579,2117,12,0.1334104537963867,2.134567260742187,0.911761939525604,14.588191032409666,0.75,0.0400393,0.61658955,29
616,Tony Dungy,2006,0.0619469026548672,0.098983765,113,-0.0370368619935702,616,0.5715361445783133,0.5620638,1328,0.0094723313687795,616,0.4348441926345609,0.37240142,706,0.0624427763328336,616,0.0508474576271186,0.070574015,59,-0.0197265577518333,0.0037879219890523,-1.357017488839735,-0.2488074545171096,1.903984757159553,-0.5136544279691655,0.0214812671814705,2206,11,0.052503228187561,0.840051651000976,0.2504667043685912,4.007467269897459,0.75,0.037167132,0.6974968,13
386,Mike Holmgren,2006,0.1052631578947368,0.125996,152,-0.0207328357194599,386,0.554726368159204,0.5739994,1206,-0.0192730367480226,386,0.4419410745233968,0.3746311,577,0.0673099676699117,386,0.0476190476190476,0.06262912,42,-0.015010070942697,0.003073506064933,-0.7545736009371046,-0.9824791007779432,2.0377780500489235,-0.3996880244293798,-0.0185622051799365,1977,15,0.1733831167221069,2.7741298675537105,1.430319517850876,22.885112285614014,0.5625,0.059758335,0.38911688,17
548,Scott Linehan,2006,0.145985401459854,0.1643412,137,-0.0183557949579545,548,0.6175925925925926,0.5852416,1080,0.0323509768203452,548,0.4246575342465753,0.3825103,584,0.0421472297955865,548,0.0526315789473684,0.09823104,38,-0.0455994609939424,0.0026357376660087,-0.6667404697835856,0.3351270911969449,1.3460843554387811,-1.1388319914734717,-0.0430994056974534,1839,1,-0.0601495504379272,-0.9623928070068352,-0.0601495504379272,-0.9623928070068352,0.5,-0.028029978,0.56014955,3
390,Mike McCarthy,2006,0.1240875912408759,0.14758386,137,-0.0234962659378121,390,0.6177536231884058,0.58186483,1104,0.0358887893566186,390,0.3827751196172249,0.38376576,627,-0.0009906374666679,390,0.0,0.014419944,32,-0.0144199440255761,-0.0007545145183593,-0.8566840622858648,0.4254231255737926,0.160275762858078,-0.3854285459026895,-0.2331252226755511,1900,1,0.0639968812465667,1.0239500999450672,0.0639968812465667,1.0239500999450672,0.5,-0.070740074,0.43600312,18
