head_coach,season,actual_decision,predicted_go_rate,fourth_down_phat_var_sum,fourth_down_plays,fourth_down_aggression,actual_pass,predicted_pass_rate,pass_heavy_phat_var_sum,run_pass_plays,pass_heavy_aggression,actual_beyond,predicted_beyond_rate,deep_pass_phat_var_sum,pass_plays,deep_pass_aggression,actual_two_point,predicted_two_point_rate,two_point_phat_var_sum,conversion_attempts,two_point_aggression,fourth_down_aggression_reliability,pass_heavy_aggression_reliability,deep_pass_aggression_reliability,two_point_aggression_reliability,composite_aggression,fourth_down_aggression_zscore,pass_heavy_aggression_zscore,deep_pass_aggression_zscore,two_point_aggression_zscore,composite_aggression_zscore,total_plays
Bill Parcells,2006,0.21296296296296297,0.16911426462497856,4.5776128764407265,108,0.04384869833798441,0.5743913435527502,0.5892467318783784,196.98698825263168,1109,-0.01485538832562816,0.4071969696969697,0.37214186295563656,101.08763833134788,528,0.035055106741333164,0.05555555555555555,0.039168548547094256,0.37348559444380314,54,0.016387007008461296,0.5693591360666211,0.925287549130278,0.7352226203592687,0.8754987049344299,0.01653274646474086,1.310150663942358,-0.285972182212368,0.8806599825568826,0.09572552196763093,0.673800004784931,1799
Rod Marinelli,2006,0.18548387096774194,0.19950616712358463,4.635170810000393,124,-0.01402229615584269,0.706,0.6358295310121029,173.67941762757567,1000,0.07017046898789703,0.3885135135135135,0.37685558861429136,116.57826217097859,592,0.011657924899222127,0.03225806451612903,0.06460801778115227,0.42509154728615706,31,-0.03234995326502324,0.6325198285986079,0.9194921553979949,0.7516682779447704,0.6706350635147855,0.014362866781175552,-0.5620266761267193,1.5390262927467446,0.2724650731226848,-0.9631799166845838,0.5679257194556016,1747
Tony Dungy,2006,0.061946902654867256,0.10309361678455953,4.992522585580337,113,-0.04114671412969227,0.5715361445783133,0.5643112399041686,246.2387259768139,1328,0.0072249046741446055,0.4348441926345609,0.3663401549632195,138.65632334735082,706,0.06850403767134144,0.05084745762711865,0.0538044554346478,1.3713729399134904,59,-0.0029569978075291506,0.570278240444604,0.9342401873208546,0.783522187268152,0.6956982312251386,0.011697396336970884,-1.439525346010823,0.18796012878622567,1.750143737264138,-0.32456067951118805,0.43787022352924143,2206
Andy Reid,2006,0.10526315789473684,0.1053338354296355,4.632066785781541,133,-7.067753489865825e-05,0.6204118173679498,0.5904043514101521,198.50704736230537,1117,0.030007465957797685,0.40034071550255534,0.3875056157550323,116.53730408637705,587,0.01283509974752306,0.018518518518518517,0.04026782651204418,0.8039806200628106,54,-0.02174930799352566,0.6645968165675192,0.9257486288509066,0.748554440795187,0.7656271044603357,0.0066639168137791974,-0.11067959858162328,0.6769659549199599,0.3030649870388987,-0.7328602400321459,0.19227317440525293,1891
Scott Linehan,2006,0.145985401459854,0.16524171432256413,4.170392035025036,137,-0.019256312862710123,0.6175925925925926,0.6013360591432838,190.62703047552336,1080,0.016256533449308774,0.4246575342465753,0.3756806611244528,111.59997900353606,584,0.04897687312212251,0.05263157894736842,0.08818331832088389,1.0764827320447168,38,-0.03555173937351547,0.7001692482179085,0.9238807165848463,0.7547225770102127,0.5471363466369996,0.006510360881779233,-0.7313516991688827,0.38181537778763175,1.2425474739764166,-1.0327449594090083,0.18478076610182909,1839
Bill Cowher,2006,0.20353982300884957,0.17934075548310402,3.931946783740532,113,0.02419906752574555,0.5777351247600768,0.6203168267330544,177.40171975247955,1042,-0.042581701972977615,0.45366795366795365,0.3956009654198538,101.09747932243539,518,0.05806698824809986,0.0,0.006687949078119212,0.24508824574949153,41,-0.006687949078119212,0.6275669565779964,0.9238992690474672,0.7276920811882015,0.8606758472408996,0.003931437940141698,0.6744679031886829,-0.8810909110487745,1.4788392540334376,-0.40562286659887165,0.05894815638005231,1714
Mike McCarthy,2006,0.12408759124087591,0.13540492225341696,3.6835456392736114,137,-0.011317331012541051,0.6177536231884058,0.6149630562939674,188.75357024509842,1104,0.002790566894438351,0.3827751196172249,0.36781870502121283,121.80833599933185,627,0.014956414596012046,0.0,0.010275574244587915,0.3092848552067218,32,-0.010275574244587915,0.7255653939854599,0.927581283688225,0.7646822230533228,0.748870623920374,-0.0005940435559719596,-0.4745186854439912,0.09278132152555275,0.35820722172615843,-0.4835710147661281,-0.16186229813550898,1900
Bill Belichick,2006,0.17482517482517482,0.1485176606807167,5.0972877853691125,143,0.026307514144458116,0.5715408805031447,0.5700804224529205,224.70356863216102,1272,0.0014604580502242115,0.34520123839009287,0.37459932918646127,128.7391825466682,646,-0.029398090796368403,0.05357142857142857,0.054114466835114526,0.2132239848481501,56,-0.0005430382636859576,0.6754923663154401,0.9345682428238037,0.7654669838403302,0.9298083474405486,-0.0011716711335520195,0.7426779973269474,0.06423181095408692,-0.7947600275843897,-0.2721127041898248,-0.19004630641301679,2117
Nick Saban,2006,0.11267605633802817,0.14445573017140395,6.409319494991611,142,-0.03177967383337578,0.627151051625239,0.6282866398054202,177.3844713778827,1046,-0.001135588180181224,0.3613013698630137,0.3700068629476758,110.80266042128785,584,-0.00870549308466212,0.15384615384615385,0.11186123942276865,0.4577785388616427,26,0.0419849144233852,0.6201189507174892,0.9244430838863874,0.756047450471531,0.5708197384572605,-0.0011746459166798462,-1.136493391235132,0.008510168607769434,-0.2568690680595829,0.6518899447727547,-0.1901914541094784,1798
Jim Mora Jr,2006,0.145985401459854,0.1448023651018434,3.363226509033601,137,0.0011830363580105918,0.5199222546161322,0.6197696635164719,179.93353987008263,1029,-0.09984740890033972,0.4892086330935252,0.3837249395769984,78.34001069210292,417,0.10548369351652681,0.03125,0.01180327083204702,0.34114611724841487,32,0.01944672916795298,0.7433041120637717,0.9210911354518745,0.6908707320882147,0.729985659698208,-0.0013022527599881215,-0.07012085647317633,-2.1102443840272445,2.7114064478522373,0.1622039485512673,-0.19641773635025075,1615
Mike Holmgren,2006,0.10526315789473684,0.13431548136017418,4.54085835180658,152,-0.029052323465437346,0.554726368159204,0.6045643454027605,208.32702381234242,1206,-0.04983797724355654,0.44194107452339687,0.36547541146325446,113.00685502516068,577,0.07646566306014241,0.047619047619047616,0.048192282709567824,0.657882037942876,42,-0.0005732350905202077,0.7252783502912477,0.9326537740783367,0.7478758331062114,0.707174894806381,-0.003460075212297417,-1.0482612189363125,-1.036839899898823,1.9571011420048927,-0.2727687890992118,-0.3017037168293392,1977
Brian Billick,2006,0.09701492537313433,0.11784211674760749,4.611000312223718,134,-0.020827191374473156,0.5739700374531835,0.5821488803777537,187.0184783613967,1068,-0.008178842924570162,0.3510054844606947,0.36316499255829443,105.19427012118385,547,-0.012159508097599747,0.02631578947368421,0.008813964386837668,0.2738628101015949,38,0.017501825086846542,0.6689382646374088,0.923652886425271,0.741190996189577,0.8260566851198169,-0.005076694188043446,-0.7821709943865912,-0.142666538965559,-0.34665399866165325,0.11994711723507717,-0.3805829192124477,1787
Marty Schottenheimer,2006,0.10655737704918032,0.09901431656880288,2.999103800402265,122,0.0075430604803774365,0.5018248175182481,0.5551037132401396,202.02333090173718,1096,-0.053278895721891484,0.43232323232323233,0.38839211699525017,100.57550959896793,495,0.04393111532798216,0.016129032258064516,0.02180693353957688,0.9231337494581607,62,-0.005677901281512365,0.7202860006120086,0.9218411224570908,0.7103914478236768,0.7894949069551205,-0.00539650826162745,0.1356314923214865,-1.110695914690467,1.1113861988560623,-0.3836776098753503,-0.3961875109026804,1775
Marvin Lewis,2006,0.09917355371900827,0.13447696376165405,4.362029402899671,121,-0.03530341004264578,0.5815109343936382,0.5954687943132169,177.28554838165797,1006,-0.013957859919578652,0.4238921001926782,0.39494889578915204,103.10290622392105,519,0.028943204403526157,0.0,0.018080388865031594,0.5286918822994168,43,-0.018080388865031594,0.6352475381359352,0.9188542430567839,0.724552945805607,0.7590326448779918,-0.009218975183813058,-1.2504893427662553,-0.2667075958379795,0.7217849559020569,-0.6531458221173467,-0.5826959872235622,1689
Lovie Smith,2006,0.11801242236024845,0.11904542164766607,4.856292727807805,161,-0.0010329992874176241,0.5274027005559968,0.5630661817112194,229.06637008107015,1259,-0.035663481155222554,0.39173553719008264,0.38247685623515837,120.72115078594416,605,0.00925868095492427,0.0,0.015071729150771975,0.5274397630195651,56,-0.015071729150771975,0.7347164763162997,0.9320935257766565,0.7532558158013628,0.8426471555944663,-0.012175957932423438,-0.14181154982385993,-0.7325979367847564,0.21009824778193154,-0.5877768266649033,-0.7269751551476935,2081
Art Shell,2006,0.1732283464566929,0.17442076099058165,4.38813363721018,127,-0.0011924145338887415,0.6095334685598377,0.657274623595095,161.468968142441,986,-0.04774115503525733,0.40210526315789474,0.36126105681466664,92.42641499047514,475,0.04084420634322811,0.0,0.04825357708260469,0.3939552112678424,16,-0.04825357708260469,0.6560232817031127,0.9227397208411628,0.7108048120704424,0.36919521810292444,-0.012644091576853306,-0.1469687726211386,-0.9918336223579116,1.0311439567312,-1.3087171364910062,-0.7498166589499642,1604
John Fox,2006,0.08633093525179857,0.11131269515319035,3.208700061062551,139,-0.024981759901391787,0.5944333996023857,0.607558293741152,172.33493655829324,1006,-0.013124894138766274,0.3580705009276438,0.37059767948608124,105.06339056958352,539,-0.012527178558437435,0.0,0.0035059629231649785,0.0956416380238558,28,-0.0035059629231649785,0.7575389917755858,0.9209410544019142,0.7357406118976371,0.8807119698583482,-0.013146371558122831,-0.9165749237106481,-0.2488287842892731,-0.3562113592078852,-0.3364880164504468,-0.7743242546728583,1712
