offensive_coach,fourth_down_aggression,fourth_down_plays,actual_decision,predicted_go_rate,pass_heavy_aggression,run_pass_plays,actual_pass,predicted_pass_rate,deep_pass_aggression,pass_plays,actual_beyond,predicted_beyond_rate,two_point_aggression,conversion_attempts,actual_two_point,predicted_two_point_rate,composite_aggression,fourth_down_aggression_zscore,pass_heavy_aggression_zscore,deep_pass_aggression_zscore,two_point_aggression_zscore,composite_aggression_zscore,total_plays
Gregg Williams,0.06125961343447367,45,0.26666666666666666,0.20540705,0.04001415173212686,480,0.6291666666666667,0.5891525,0.05631435727173428,265,0.45660377358490567,0.40028942,0.08755045741796494,25,0.16,0.07244954,0.06128464496407494,2.5395198961996006,0.8798198697885472,2.161634277133161,2.4693246048678956,3.8654337367422142,815
Doug Pederson,0.03649393988378119,1056,0.23200757575757575,0.19551364,0.03815689674312872,9305,0.6328855454056959,0.59472865,-0.007355310761657963,5022,0.37335722819593786,0.38071254,0.11211695183976358,357,0.19327731092436976,0.08116036,0.04485311942625388,1.4676370924593374,0.8162699422918293,-0.04844155703563552,3.1999982814970207,2.7593108969392293,15740
Brandon Staley,0.049834777676840136,381,0.27034120734908135,0.22050643,0.0711809615097424,3333,0.6732673267326733,0.60208637,-0.028655132984856835,1939,0.33212996389891697,0.3607851,0.04590567757470021,138,0.10144927536231885,0.055543598,0.03456657094410648,2.045041724261417,1.9462585189801127,-0.7877923942803772,1.2306967453924182,2.0668501639017287,5791
DeMeco Ryans,0.005353919198084339,317,0.15457413249211358,0.14922021,0.04361507426137512,2438,0.6304347826086957,0.5868197,0.024762364985153107,1271,0.4091266719118804,0.3843643,0.045558469265364526,89,0.10112359550561797,0.055565126,0.029822456927494273,0.1198662509842332,1.003033088765263,1.0664142480938787,1.2203698355947643,1.7474901107937135,4115
Dirk Koetter,-0.021745171012549566,319,0.10344827586206896,0.12519345,0.029753807597802995,3287,0.6604806814724673,0.6307269,0.09749653089601557,1804,0.4911308203991131,0.3936343,0.0134420245885849,128,0.1484375,0.13499548,0.029736798017463473,-1.0530091297046318,0.5287403843704515,3.59113327621438,0.2651403140633671,1.7417238003802582,5538
Rob Chudzinski,0.02712545080764875,148,0.22972972972972974,0.20260428,0.08739908308900557,1101,0.703905540417802,0.61650646,-0.0019824472324686537,678,0.37315634218289084,0.3751388,0.0028902922357831665,35,0.05714285714285714,0.054252565,0.028858094724992206,1.062159635236936,2.5011960243848512,0.1380591145230805,-0.04869661116707644,1.6825720327020004,1962
Bill Callahan,0.013356697997626135,85,0.08235294117647059,0.06899624,-0.017112385038394295,622,0.5819935691318328,0.59910595,0.017946794778606945,299,0.3612040133779264,0.34325722,0.09614043525959315,19,0.21052631578947367,0.11438588,0.027582885749357983,0.4662344189974204,-1.074886022192155,0.8298349242992487,2.7248136699310774,1.596728647666077,1025
Kevin Stefanski,0.048555681174928034,728,0.2760989010989011,0.22754322,0.012210113452531424,5864,0.6016371077762619,0.589427,-0.005354256884958608,2945,0.36196943972835316,0.3673237,0.05109520082440332,214,0.12149532710280374,0.07040013,0.02662668464172604,1.989681164738675,-0.07155440420783485,0.021018217961834437,1.3850471369341706,1.532359950909217,9751
Freddie Kitchens,0.04126532913231459,122,0.22950819672131148,0.18824287,0.03211093667880105,1028,0.6293774319066148,0.5972665,0.024385779041595723,537,0.38733705772811916,0.36295128,0.007809440948461227,38,0.07894736842105263,0.07113793,0.02639287145029315,1.674147530182164,0.6093945665291631,1.053342348725606,0.0976121138005597,1.5166203221878385,1725
Matt LaFleur,0.06036229066205609,734,0.23841961852861035,0.17805733,0.02949953867355526,6867,0.600116499199068,0.57061696,-0.022339370937766945,3569,0.3659288316054917,0.3882682,0.03407786408331051,327,0.0856269113149847,0.051549047,0.02540008062028873,2.500682880634884,0.5200400326167438,-0.5685622097078233,0.8789057319147806,1.449788511003466,11497
