coach_name,coach_id,transition_type,gene_type,coord_team,coord_years,coord_years_with_data,coord_era_gene,coord_era_gene_eradj,hc_team,hc_years,hc_years_with_data,hc_era_gene,hc_era_gene_eradj,gene_change,gene_change_eradj,years_gap
Brandon Staley,brandon_staley,DC->HC,defensive_scheme,ram,2020-2020,1,-1.5385731834544103,-1.5191663960729147,sdg,2021-2023,3,-0.12075937955073936,-0.06360757322632608,1.417813803903671,1.4555588228465886,1
Dan Quinn,dan_quinn,DC->HC,defensive_scheme,dal,2021-2023,3,0.8936125888129848,0.9507643951373982,was,2024-2025,1,0.5729717529372457,0.5177083025679053,-0.3206408358757391,-0.43305609256949285,1
DeMeco Ryans,demeco_ryans,DC->HC,defensive_scheme,sfo,2021-2022,2,-0.2938201915014725,-0.13164867605602767,htx,2023-2025,2,0.16471655162921583,0.06064102048572084,0.4585367431306883,0.19228969654174852,1
Dennis Allen,dennis_allen,DC->HC,defensive_scheme,nor,2016-2021,6,0.46942260516232975,0.4577527053551618,nor,2022-2024,3,-0.02864498791799744,-0.04121884580455755,-0.4980675930803272,-0.49897155115971936,1
Jonathan Gannon,jonathan_gannon,DC->HC,defensive_scheme,phi,2021-2022,2,-0.19285762789152944,-0.03068611244608463,crd,2023-2025,2,-0.9726053110728593,-1.0766808422163543,-0.7797476831813299,-1.0459947297702696,1
Lovie Smith,lovie_smith,DC->HC,defensive_scheme,htx,2021-2021,1,-0.3736091310587225,-0.21969558879514262,htx,2022-2022,1,-0.4423959152205815,-0.27196642659327186,-0.06878678416185902,-0.052270837798129244,1
Matt Eberflus,matt_eberflus,DC->HC,defensive_scheme,clt,2018-2021,4,-1.0571609630953296,-0.9959383154907915,chi,2022-2024,3,-0.6002890068819826,-0.6128628647685427,0.456871956213347,0.3830754507222488,1
Matt Patricia,matt_patricia,DC->HC,defensive_scheme,nwe,2012-2017,2,-0.8497062443196141,-1.007161238950194,det,2018-2020,3,-0.3503547913052077,-0.32002910858701683,0.49935145301440637,0.6871321303631772,1
Mike Macdonald,mike_macdonald,DC->HC,defensive_scheme,rav,2022-2023,2,0.3747402733841893,0.3835112117390193,sea,2024-2025,1,0.1256565378809172,0.07039308751157687,-0.2490837355032721,-0.31311812422744245,1
Mike Vrabel,mike_vrabel,DC->HC,defensive_scheme,htx,2017-2017,1,0.6981278448114413,0.46611657967932296,oti,2018-2023,6,-0.4514812274967275,-0.4077424829754254,-1.1496090723081687,-0.8738590626547484,1
Raheem Morris,raheem_morris,DC->HC,defensive_scheme,ram,2021-2023,3,-0.718032966863957,-0.6608811605395436,atl,2024-2025,1,0.1404387299606924,0.08517527959135206,0.8584716968246494,0.7460564401308957,1
Robert Saleh,robert_saleh,DC->HC,defensive_scheme,sfo,2017-2020,4,0.09360602519990371,0.05834747095551725,nyj,2021-2024,4,-0.47699515851157537,-0.44794716636060056,-0.570601183711479,-0.5062946373161178,1
Sean McDermott,sean_mcdermott,DC->HC,defensive_scheme,car,2011-2016,1,0.2252479334690707,0.1423492093400293,buf,2017-2025,8,-0.1474568741106791,-0.15056215515738489,-0.3727048075797498,-0.2929113644974142,1
Steve Wilks,steve_wilks,DC->HC,defensive_scheme,car,2017-2017,1,1.4604579543999698,1.2284466892678516,crd,2018-2018,1,0.5314549356632714,0.6136173441466484,-0.9290030187366984,-0.6148293451212032,1
Todd Bowles,todd_bowles,DC->HC,defensive_scheme,tam,2019-2021,3,0.8517477315843588,0.9059904588959506,tam,2022-2025,3,0.4360723801576145,0.4234985222710544,-0.4156753514267443,-0.48249193662489626,1
Vance Joseph,vance_joseph,DC->HC,defensive_scheme,mia,2016-2016,1,0.5273201527834973,0.4444214286544559,den,2017-2018,2,0.9848453920758755,0.9099209637515048,0.4575252392923782,0.4654995350970489,1
Vic Fangio,vic_fangio,DC->HC,defensive_scheme,chi,2015-2018,3,-1.324907055755235,-1.4024895826811627,den,2019-2021,3,-0.7238619432783214,-0.6696192159667297,0.6010451124769135,0.7328703667144331,1
Adam Gase,adam_gase,OC->HC,aggression,chi,2015-2015,1,-0.0377405036788252,-0.04345177503453502,mia,2016-2018,3,-0.0167998054719545,-0.02365396428614855,0.0209406982068707,0.01979781074838647,1
Adam Gase,adam_gase,OC->HC,tempo,chi,2015-2015,1,1.0629493350117978,0.5632589508077883,mia,2016-2018,3,-0.437227882610779,-0.4964850744018386,-1.5001772176225767,-1.0597440252096268,1
Adam Gase,adam_gase,OC->HC,shotgun,chi,2015-2015,1,1.008137493257763,0.5698345791270387,mia,2016-2018,3,0.4746696610382923,0.10055929837224072,-0.5334678322194706,-0.469275280754798,1
Anthony Lynn,anthony_lynn,OC->HC,aggression,buf,2016-2016,1,-0.0001037144155327,-0.006588005611199718,sdg,2017-2020,4,0.019922851890350275,0.010401979038037825,0.020026566305882974,0.016989984649237542,1
Anthony Lynn,anthony_lynn,OC->HC,tempo,buf,2016-2016,1,-0.2439666804149999,-0.44897874302694807,sdg,2017-2020,4,-0.39036276287074195,-0.39433631363521937,-0.14639608245574207,0.0546424293917287,1
Anthony Lynn,anthony_lynn,OC->HC,shotgun,buf,2016-2016,1,1.3533213735631802,0.8924440618874225,sdg,2017-2020,4,0.32392032262612513,-0.04462756775162591,-1.029401050937055,-0.9370716296390484,1
Arthur Smith,arthur_smith,OC->HC,aggression,oti,2019-2020,2,-0.00693924377100565,-0.01894189685217299,atl,2021-2023,3,-4.314636882110009e-05,-0.011186320774881825,0.00689609740218455,0.007755576077291167,1
Arthur Smith,arthur_smith,OC->HC,tempo,oti,2019-2020,2,0.5408047188508616,0.519237373702522,atl,2021-2023,3,0.18005264532699705,0.15639659998442593,-0.3607520735238645,-0.3628407737180961,1
Arthur Smith,arthur_smith,OC->HC,shotgun,oti,2019-2020,2,-0.9009920190377665,-1.3073609116320701,atl,2021-2023,3,0.7955925908890821,0.11873070533308279,1.6965846099268487,1.426091616965153,1
Ben McAdoo,ben_mcadoo,OC->HC,aggression,nyg,2014-2015,2,-0.0003295184543776,-0.0025606916128615344,nyg,2016-2017,2,0.0070512455123402495,0.00345393557300062,0.007380763966717849,0.0060146271858621545,1
Ben McAdoo,ben_mcadoo,OC->HC,tempo,nyg,2014-2015,2,2.696696154628117,2.23101327140667,nyg,2016-2017,2,2.3921544948039513,2.194112228904908,-0.3045416598241659,-0.03690104250176196,1
Ben McAdoo,ben_mcadoo,OC->HC,shotgun,nyg,2014-2015,2,0.4702550454689851,0.08564230321321542,nyg,2016-2017,2,0.6146530494398115,0.24548683862953563,0.14439800397082636,0.1598445354163202,1
Bill O'Brien,bill_o'brien,OC->HC,aggression,nwe,2011-2011,1,0.0197624597148521,0.022485501024245097,htx,2014-2020,7,-0.0017969900309622723,-0.008801294162660084,-0.021559449745814373,-0.03128679518690518,3
Bill O'Brien,bill_o'brien,OC->HC,tempo,nwe,2011-2011,1,2.525844742003168,2.6239947872452136,htx,2014-2020,7,0.3568999686543887,0.19228967835256708,-2.1689447733487794,-2.4317051088926465,3
