offensive_coach,fourth_down_aggression,fourth_down_plays,actual_decision,predicted_go_rate,pass_heavy_aggression,run_pass_plays,actual_pass,predicted_pass_rate,deep_pass_aggression,pass_plays,actual_beyond,predicted_beyond_rate,composite_aggression,fourth_down_aggression_zscore,pass_heavy_aggression_zscore,deep_pass_aggression_zscore,composite_aggression_zscore,total_plays
Rob Chudzinski,0.03409751041515455,148,0.22972972972972974,0.19563222,-0.06061296033945718,1103,0.7035358114233907,0.7641488,0.013333651695982884,678,0.37315634218289084,0.3598227,-0.004393932742773249,2.2960867715706206,2.254681931611622,0.2404054180933288,2.6017263471339946,1929
Freddie Kitchens,0.04364027620339003,122,0.22950819672131148,0.18586792,-0.11117486492391937,1031,0.6304558680892337,0.74163073,0.04193946613723781,537,0.38733705772811916,0.3453976,-0.00853170752776384,3.0012783842433604,0.30235937885655,1.5666265778292054,2.2605067053575585,1690
Kevin O'Connell,0.0024484246969223022,384,0.1953125,0.19286408,-0.07885009245066388,3490,0.6564469914040114,0.7352971,0.04583678151366616,1924,0.3814968814968815,0.3356601,-0.010188295413358472,-0.0427183812052002,1.5505003029546982,1.7473136940446077,2.1238969684177382,5798
Dirk Koetter,-0.005367289843230413,319,0.10344827586206896,0.108815566,-0.09099120586767961,3306,0.6609195402298851,0.75191075,0.06563090432245294,1804,0.4911308203991131,0.42549992,-0.010242530462819028,-0.6202843052850782,1.081701318137953,2.665007702069919,2.1194245007001173,5429
Brandon Staley,0.03518929866755882,410,0.2634146341463415,0.22822534,-0.06737755580503513,3565,0.6723702664796634,0.7397478,-0.0016051580701820778,2056,0.3336575875486381,0.33526275,-0.011264471735886128,2.3767677749081746,1.9934838538048183,-0.4521868398143535,2.0351505966738728,6031
Brian Flores,0.009371607887501632,392,0.18622448979591838,0.17685288,-0.0785178825629339,3261,0.6605335786568537,0.73905146,0.029929106289081353,1780,0.3702247191011236,0.3402956,-0.013072389462116973,0.4688912325414013,1.5633277638937935,1.0098029502629318,1.8860615159574698,5433
Bill Parcells,0.03404580829320131,108,0.21296296296296297,0.17891715,-0.11187331496382791,1112,0.5746402877697842,0.6865136,0.03618759007164929,528,0.4071969696969697,0.37100938,-0.013879972199659104,2.2922660865021727,0.2753904627112283,1.299958423282259,1.8194645872390338,1748
Sean McDermott,0.0061045470366994925,996,0.18674698795180722,0.18064244,-0.08389986877899325,9580,0.6194154488517746,0.7033153,0.027328579748340853,4901,0.3819628647214854,0.35463428,-0.016822247331317635,0.2274618648713457,1.3555157134067055,0.8892374850891497,1.5768312592787923,15477
Dave Canales,0.017384313958154318,139,0.26618705035971224,0.24880274,-0.09806904678921025,1026,0.6471734892787524,0.74524254,0.027382334363961813,547,0.39853747714808047,0.37115514,-0.017767466155698037,1.061014443068297,0.8084080438936245,0.8917296535542842,1.4988842357178764,1712
Mike McDaniel,0.01653195365995247,389,0.2544987146529563,0.23796676,-0.12050681939274688,3378,0.6228537596210776,0.7433606,0.048842742367021574,1818,0.3921892189218922,0.34334648,-0.01837737445525761,0.9980266943793165,-0.057970899848460634,1.886675882009733,1.4485884360897519,5585
